"IDN4";"NM4";"IDN3";"NM3";"IDN2";"NM2";"KATEGORIA";"TXT";"POINT_X";"POINT_Y"
510726;"Liptovskı Hrádok";505;"Liptovskı Mikuláš";5;"ilinskı kraj";"mesto";;-373313.06;-1198152.01
525146;"Sabinov";708;"Sabinov";7;"Prešovskı kraj";"okresné mesto";;-272616.46;-1196514.39
512834;"abokreky";506;"Martin";5;"ilinskı kraj";"obec";;-431639.04;-1195141.7
527581;"Miòovce";711;"Stropkov";7;"Prešovskı kraj";"obec";;-231928.97;-1194661.19
529010;"Pritu¾any";702;"Humenné";7;"Prešovskı kraj";"obec";;-223089.24;-1195907.74
527467;"Kriš¾ovce";711;"Stropkov";7;"Prešovskı kraj";"obec";;-226753.3;-1194629.75
523721;"Mengusovce";706;"Poprad";7;"Prešovskı kraj";"obec";;-342454.4;-1195907.51
513351;"Košecké Podhradie";302;"Ilava";3;"Trenèiansky kraj";"obec";;-476418.85;-1196775.64
512257;"Folkušová";506;"Martin";5;"ilinskı kraj";"obec";;-430185.55;-1201583.37
526487;"Dravce";704;"Levoèa";7;"Prešovskı kraj";"obec";;-317659.8;-1203431.1
523437;"Gánovce";706;"Poprad";7;"Prešovskı kraj";"obec";;-329089.86;-1201591.56
523488;"Hôrka";706;"Poprad";7;"Prešovskı kraj";"obec";;-324321.24;-1203046.1
543179;"Jablonov";704;"Levoèa";7;"Prešovskı kraj";"obec";;-300632.02;-1204667.28
524395;"Fintice";707;"Prešov";7;"Prešovskı kraj";"obec";;-259082.41;-1202779.53
525405;"Ve¾kı Šariš";707;"Prešov";7;"Prešovskı kraj";"mesto";;-265834.68;-1203942.06
514080;"K¾aèno";307;"Prievidza";3;"Trenèiansky kraj";"obec";;-451953.06;-1206090.72
527688;"Nová Polianka";712;"Svidník";7;"Prešovskı kraj";"obec";;-233495.04;-1177719.84
523780;"Podhorany";703;"Kemarok";7;"Prešovskı kraj";"obec";;-316616.6;-1179091.34
509825;"Malatiná";503;"Dolnı Kubín";5;"ilinskı kraj";"obec";;-393150.16;-1180203.19
527319;"Hrabovèík";712;"Svidník";7;"Prešovskı kraj";"obec";;-238163.51;-1178233.6
557935;"Lietavská Lúèka";511;"ilina";5;"ilinskı kraj";"obec";;-444979.6;-1177551.97
526860;"Lomnièka";710;"Stará ¼ubovòa";7;"Prešovskı kraj";"obec";;-310075.09;-1178253.09
509922;"Oravská Poruba";503;"Dolnı Kubín";5;"ilinskı kraj";"obec";;-405088.03;-1178321.73
519251;"Hrabovec";701;"Bardejov";7;"Prešovskı kraj";"obec";;-251175.19;-1178405.62
517950;"Stráòavy";511;"ilina";5;"ilinskı kraj";"obec";;-437894.22;-1178118.34
510327;"Bobrovec";505;"Liptovskı Mikuláš";5;"ilinskı kraj";"obec";;-380491.33;-1188145.3
527831;"Stroèín";712;"Svidník";7;"Prešovskı kraj";"obec";;-235349.47;-1180153.02
512681;"Turany";506;"Martin";5;"ilinskı kraj";"mesto";;-422692.4;-1185815.56
511137;"Ve¾ké Borové";505;"Liptovskı Mikuláš";5;"ilinskı kraj";"obec";;-386890.73;-1179145.92
509787;"Leštiny";503;"Dolnı Kubín";5;"ilinskı kraj";"obec";;-399008.52;-1179325.07
527823;"Staškovce";711;"Stropkov";7;"Prešovskı kraj";"obec";;-223858.44;-1178940.5
519693;"Ortuová";701;"Bardejov";7;"Prešovskı kraj";"obec";;-245616.7;-1179104.52
557692;"Horná Breznica";308;"Púchov";3;"Trenèiansky kraj";"obec";;-479877.11;-1181908.13
520616;"Palota";705;"Medzilaborce";7;"Prešovskı kraj";"obec";;-206598.47;-1181041.72
526746;"Hromoš";710;"Stará ¼ubovòa";7;"Prešovskı kraj";"obec";;-293735.15;-1178563.62
506338;"Nové Mesto nad Váhom";304;"Nové Mesto nad Váhom";3;"Trenèiansky kraj";"okresné mesto";;-513941.05;-1218144.59
528943;"Ondavské Matiašovce";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-225923.56;-1217290.34
508616;"Hiade¾";601;"Banská Bystrica";6;"Banskobystrickı kraj";"obec";;-404743.93;-1221177.36
504599;"Oreské";206;"Skalica";2;"Trnavskı kraj";"obec";;-552427.42;-1215784.66
508489;"Braväcovo";603;"Brezno";6;"Banskobystrickı kraj";"obec";;-372755.29;-1220114.28
504793;"Rudník";303;"Myjava";3;"Trenèiansky kraj";"obec";;-527835.62;-1216914.89
504939;"Unín";206;"Skalica";2;"Trnavskı kraj";"obec";;-559466.63;-1217139.09
559989;"Suchá Dolina";707;"Prešov";7;"Prešovskı kraj";"obec";;-270119.74;-1217577.08
506532;"Svinná";309;"Trenèín";3;"Trenèiansky kraj";"obec";;-489308.98;-1217067.39
543349;"Matejovce nad Hornádom";810;"Spišská Nová Ves";8;"Košickı  kraj";"obec";;-304698.39;-1215623.74
508861;"Podkonice";601;"Banská Bystrica";6;"Banskobystrickı kraj";"obec";;-409161.19;-1221994.25
508462;"Beòuš";603;"Brezno";6;"Banskobystrickı kraj";"obec";;-372243.24;-1221222.26
514390;"Šútovce";307;"Prievidza";3;"Trenèiansky kraj";"obec";;-461827.05;-1217733.37
514101;"Kostolná Ves";307;"Prievidza";3;"Trenèiansky kraj";"obec";;-465156.59;-1216781.22
509043;"Šumiac";603;"Brezno";6;"Banskobystrickı kraj";"obec";;-344779.97;-1221772.1
529079;"Rudlov";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-238715.75;-1218153.82
508799;"Moštenica";601;"Banská Bystrica";6;"Banskobystrickı kraj";"obec";;-406455.68;-1221395.77
520551;"Nová Sedlica";709;"Snina";7;"Prešovskı kraj";"obec";;-169408.28;-1207305.37
529036;"Radvanovce";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-246339.11;-1203696.16
529052;"Remeniny";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-239624.95;-1205462.55
529214;"Vavrinec";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-236355.47;-1204110.46
525251;"Šindliar";707;"Prešov";7;"Prešovskı kraj";"obec";;-284177.99;-1203047.06
543381;"Nemešany";704;"Levoèa";7;"Prešovskı kraj";"obec";;-303293.45;-1206132.69
524034;"Vikartovce";706;"Poprad";7;"Prešovskı kraj";"obec";;-342189.87;-1204941.21
512044;"Abramová";509;"Turèianske Teplice";5;"ilinskı kraj";"obec";;-441702.35;-1204219.52
526461;"Do¾any";704;"Levoèa";7;"Prešovskı kraj";"obec";;-305439.85;-1204947.31
529231;"Vlaèa";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-242472.35;-1203966.85
512630;"Socovce";506;"Martin";5;"ilinskı kraj";"obec";;-436360.96;-1203183.19
523593;"Kravany";706;"Poprad";7;"Prešovskı kraj";"obec";;-338603.71;-1204462.25
520403;"Koškovce";702;"Humenné";7;"Prešovskı kraj";"obec";;-210210.34;-1205528.5
505871;"Bošáca";304;"Nové Mesto nad Váhom";3;"Trenèiansky kraj";"obec";;-512630.03;-1209876.74
559971;"Lipníky";707;"Prešov";7;"Prešovskı kraj";"obec";;-250484.51;-1203918.75
510858;"Maluiná";505;"Liptovskı Mikuláš";5;"ilinskı kraj";"obec";;-370186.34;-1204534.84
544167;"Detrík";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-234537.97;-1205010.12
523852;"Spišské Bystré";706;"Poprad";7;"Prešovskı kraj";"obec";;-335551.82;-1205404.33
512737;"Turèiansky Ïur";506;"Martin";5;"ilinskı kraj";"obec";;-438196.56;-1202648.61
545686;"Melèice-Lieskové";309;"Trenèín";3;"Trenèiansky kraj";"obec";;-507229.92;-1209447.61
524328;"Daletice";708;"Sabinov";7;"Prešovskı kraj";"obec";;-275460.39;-1203353.81
521116;"Zubné";702;"Humenné";7;"Prešovskı kraj";"obec";;-202188.71;-1205712.37
510629;"Liptovská Lúna";508;"Ruomberok";5;"ilinskı kraj";"obec";;-402591.1;-1207353.59
506265;"Moravské Lieskové";304;"Nové Mesto nad Váhom";3;"Trenèiansky kraj";"obec";;-515922.35;-1210856.26
512451;"Moškovec";509;"Turèianske Teplice";5;"ilinskı kraj";"obec";;-439234.42;-1203667.8
510718;"Liptovské Revúce";508;"Ruomberok";5;"ilinskı kraj";"obec";;-413830.33;-1208216.59
524735;"Laany";707;"Prešov";7;"Prešovskı kraj";"obec";;-272929.23;-1203917.01
543608;"Spišskı Hrhov";704;"Levoèa";7;"Prešovskı kraj";"obec";;-306394.55;-1206077.15
524522;"Chminianska Nová Ves";707;"Prešov";7;"Prešovskı kraj";"obec";;-274390.71;-1207592.57
528803;"Košarovce";702;"Humenné";7;"Prešovskı kraj";"obec";;-222927.18;-1205608.03
524191;"Bertotovce";707;"Prešov";7;"Prešovskı kraj";"obec";;-278223.06;-1205253.19
512087;"Blaovce";509;"Turèianske Teplice";5;"ilinskı kraj";"obec";;-438162.83;-1204176.43
524140;"Prešov";707;"Prešov";7;"Prešovskı kraj";"krajské mesto";;-262660.96;-1208724.3
523518;"Hranovnica";706;"Poprad";7;"Prešovskı kraj";"obec";;-330837.54;-1206203.79
504432;"Kátov";206;"Skalica";2;"Trnavskı kraj";"obec";;-561597.39;-1205346.46
512117;"Brieštie";509;"Turèianske Teplice";5;"ilinskı kraj";"obec";;-446137.33;-1205854.96
524093;"Vydrník";706;"Poprad";7;"Prešovskı kraj";"obec";;-323496.85;-1205135.06
524450;"Hendrichovce";707;"Prešov";7;"Prešovskı kraj";"obec";;-280034.44;-1205106.61
505838;"Adamovské Kochanovce";309;"Trenèín";3;"Trenèiansky kraj";"obec";;-506014.36;-1208358.3
504378;"Holíè";206;"Skalica";2;"Trnavskı kraj";"mesto";;-562257.53;-1207296.33
528820;"Kvakovce";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-231216.08;-1211169.9
528960;"Pavlovce";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-247903.63;-1206325.4
504963;"Vrádište";206;"Skalica";2;"Trnavskı kraj";"obec";;-559940.39;-1206309.12
525260;"Široké";707;"Prešov";7;"Prešovskı kraj";"obec";;-284399.32;-1207743.71
512621;"Slovenské Pravno";509;"Turèianske Teplice";5;"ilinskı kraj";"obec";;-444593.01;-1207099.96
524841;"Malı Šariš";707;"Prešov";7;"Prešovskı kraj";"obec";;-267056.65;-1207433.22
525511;"upèany";707;"Prešov";7;"Prešovskı kraj";"obec";;-268821.88;-1206643.07
506133;"Kostolná-Zárieèie";309;"Trenèín";3;"Trenèiansky kraj";"obec";;-502732.23;-1205521.31
512460;"Mošovce";509;"Turèianske Teplice";5;"ilinskı kraj";"obec";;-435215.77;-1207792.17
581640;"Korytné";704;"Levoèa";7;"Prešovskı kraj";"obec";;-292027.98;-1205919.93
525324;"Trnkov";707;"Prešov";7;"Prešovskı kraj";"obec";;-254052.32;-1205017.55
543276;"Kurimany";704;"Levoèa";7;"Prešovskı kraj";"obec";;-313769.66;-1206038.46
513938;"Èavoj";307;"Prievidza";3;"Trenèiansky kraj";"obec";;-464406.52;-1208290.38
514225;"Nitrianske Pravno";307;"Prievidza";3;"Trenèiansky kraj";"obec";;-454107.19;-1210519.84
510874;"Niná Boca";505;"Liptovskı Mikuláš";5;"ilinskı kraj";"obec";;-370670.29;-1208168.96
512109;"Borcová";509;"Turèianske Teplice";5;"ilinskı kraj";"obec";;-438612.37;-1205448.95
512320;"Jazernica";509;"Turèianske Teplice";5;"ilinskı kraj";"obec";;-439072.66;-1205429.76
526592;"Hrabušice";810;"Spišská Nová Ves";8;"Košickı  kraj";"obec";;-323441.6;-1207973.79
528731;"Holèíkovce";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-227134.9;-1208052.3
556441;"Zemianske Podhradie";304;"Nové Mesto nad Váhom";3;"Trenèiansky kraj";"obec";;-512900.0;-1208752.3
526380;"Beharovce";704;"Levoèa";7;"Prešovskı kraj";"obec";;-293913.41;-1206498.6
520152;"Dedaèov";702;"Humenné";7;"Prešovskı kraj";"obec";;-208904.79;-1206995.52
520462;"Lukaèovce";702;"Humenné";7;"Prešovskı kraj";"obec";;-222690.11;-1206617.22
520195;"Hankovce";702;"Humenné";7;"Prešovskı kraj";"obec";;-210810.76;-1207586.1
506184;"Lubina";304;"Nové Mesto nad Váhom";3;"Trenèiansky kraj";"obec";;-520603.39;-1214413.93
543284;"Letanovce";810;"Spišská Nová Ves";8;"Košickı  kraj";"obec";;-319189.46;-1207707.78
529150;"Skrabské";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-237930.14;-1208678.56
520021;"Baškovce";702;"Humenné";7;"Prešovskı kraj";"obec";;-218803.62;-1206684.62
504971;"Vrbovce";303;"Myjava";3;"Trenèiansky kraj";"obec";;-539800.5;-1211086.86
505897;"Bzince pod Javorinou";304;"Nové Mesto nad Váhom";3;"Trenèiansky kraj";"obec";;-517426.65;-1214406.83
524930;"Okruná";707;"Prešov";7;"Prešovskı kraj";"obec";;-252937.33;-1206387.74
506508;"Soblahov";309;"Trenèín";3;"Trenèiansky kraj";"obec";;-494184.79;-1208026.99
525073;"Radatice";707;"Prešov";7;"Prešovskı kraj";"obec";;-266739.94;-1215860.29
500381;"Jelšovce";403;"Nitra";4;"Nitriansky  kraj";"obec";;-500961.08;-1261098.17
515582;"Studená";609;"Rimavská Sobota";6;"Banskobystrickı kraj";"obec";;-362155.2;-1296473.42
516279;"Opatovská Nová Ves";610;"Ve¾kı Krtíš";6;"Banskobystrickı kraj";"obec";;-413228.26;-1298083.16
502456;"Kukuèínov";402;"Levice";4;"Nitriansky  kraj";"obec";;-456583.52;-1297286.49
555541;"Dunajskı Klátov";201;"Dunajská Streda";2;"Trnavskı kraj";"obec";;-531591.33;-1297079.04
502723;"Sazdice";402;"Levice";4;"Nitriansky  kraj";"obec";;-449064.58;-1298466.29
502928;"Ve¾ké Turovce";402;"Levice";4;"Nitriansky  kraj";"obec";;-437817.27;-1296996.52
516155;"Lesenice";610;"Ve¾kı Krtíš";6;"Banskobystrickı kraj";"obec";;-415474.07;-1298937.53
504165;"Vlèany";405;"Ša¾a";4;"Nitriansky  kraj";"obec";;-512731.33;-1299283.82
555665;"Malé Dvorníky";201;"Dunajská Streda";2;"Trnavskı kraj";"obec";;-535450.34;-1299553.19
501441;"Báè";201;"Dunajská Streda";2;"Trnavskı kraj";"obec";;-555284.65;-1298190.58
515663;"Tachty";609;"Rimavská Sobota";6;"Banskobystrickı kraj";"obec";;-363497.79;-1297005.41
501581;"Holice";201;"Dunajská Streda";2;"Trnavskı kraj";"obec";;-547877.47;-1300353.26
504106;"Trstice";202;"Galanta";2;"Trnavskı kraj";"obec";;-523366.58;-1300189.43
501492;"Blatná na Ostrove";201;"Dunajská Streda";2;"Trnavskı kraj";"obec";;-550436.42;-1298312.87
516091;"Kiarov";610;"Ve¾kı Krtíš";6;"Banskobystrickı kraj";"obec";;-403632.82;-1299346.36
516333;"Seèianky";610;"Ve¾kı Krtíš";6;"Banskobystrickı kraj";"obec";;-428212.23;-1299199.85
515957;"Dolinka";610;"Ve¾kı Krtíš";6;"Banskobystrickı kraj";"obec";;-422339.64;-1300009.64
555568;"Horné Mıto";201;"Dunajská Streda";2;"Trnavskı kraj";"obec";;-527352.84;-1300246.01
502944;"Vyškovce nad Ip¾om";402;"Levice";4;"Nitriansky  kraj";"obec";;-444157.54;-1302341.38
526908;"Mníšek nad Popradom";710;"Stará ¼ubovòa";7;"Prešovskı kraj";"obec";;-298460.76;-1160520.8
580457;"Tovarníky";406;"Topo¾èany";4;"Nitriansky  kraj";"obec";;-492769.11;-1240491.24
522171;"Vyšná Hutka";806;"Košice - okolie";8;"Košickı  kraj";"obec";;-255961.39;-1244840.53
528765;"Juskova Vo¾a";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-239409.93;-1222916.58
523585;"Kemarok";703;"Kemarok";7;"Prešovskı kraj";"okresné mesto";;-321234.27;-1190667.1
504661;"Polianka";303;"Myjava";3;"Trenèiansky kraj";"obec";;-532741.89;-1220224.67
557757;"Abovce";609;"Rimavská Sobota";6;"Banskobystrickı kraj";"obec";;-333084.88;-1280566.48
502090;"Bory";402;"Levice";4;"Nitriansky  kraj";"obec";;-451612.38;-1287925.96
520080;"Brezovec";709;"Snina";7;"Prešovskı kraj";"obec";;-178987.09;-1218902.44
501310;"Patince";401;"Komárno";4;"Nitriansky  kraj";"obec";;-490489.36;-1333390.5
556157;"Jacovce";406;"Topo¾èany";4;"Nitriansky  kraj";"obec";;-493200.24;-1238460.58
526924;"Nová ¼ubovòa";710;"Stará ¼ubovòa";7;"Prešovskı kraj";"obec";;-301701.27;-1175744.63
528447;"Krá¾ovskı Chlmec";811;"Trebišov";8;"Košickı  kraj";"mesto";;-211245.92;-1275021.18
518417;"Hontianske Nemce";605;"Krupina";6;"Banskobystrickı kraj";"obec";;-432998.97;-1277549.37
503681;"Boldog";108;"Senec";1;"Bratislavskı kraj";"obec";;-548627.77;-1272757.89
529419;"Bratislava-Lamaè";104;"Bratislava IV";1;"Bratislavskı kraj";"obec - mestská èas Bratislava, Košice";;-577495.19;-1274797.1
500631;"Nová Ves nad itavou";403;"Nitra";4;"Nitriansky  kraj";"obec";;-482273.48;-1273055.14
528650;"Svätuše";811;"Trebišov";8;"Košickı  kraj";"obec";;-215328.47;-1273974.89
500518;"Ve¾ké Chyndice";403;"Nitra";4;"Nitriansky  kraj";"obec";;-485055.84;-1272864.84
500607;"Nevidzany";407;"Zlaté Moravce";4;"Nitriansky  kraj";"obec";;-478114.88;-1273783.75
503983;"Reca";108;"Senec";1;"Bratislavskı kraj";"obec";;-547436.13;-1273584.25
514519;"Bátka";609;"Rimavská Sobota";6;"Banskobystrickı kraj";"obec";;-345317.33;-1272974.61
557919;"Dulovo";609;"Rimavská Sobota";6;"Banskobystrickı kraj";"obec";;-343661.03;-1273711.31
511218;"Luèenec";606;"Luèenec";6;"Banskobystrickı kraj";"okresné mesto";;-382653.69;-1276318.02
515469;"Rimavské Janovce";609;"Rimavská Sobota";6;"Banskobystrickı kraj";"obec";;-353199.68;-1276909.72
543896;"Ve¾ké Trakany";811;"Trebišov";8;"Košickı  kraj";"obec";;-202596.99;-1278566.39
543802;"Streda nad Bodrogom";811;"Trebišov";8;"Košickı  kraj";"obec";;-227588.97;-1279042.77
513920;"Cige¾";307;"Prievidza";3;"Trenèiansky kraj";"obec";;-454915.2;-1228017.32
525669;"Gemerská Poloma";808;"Roòava";8;"Košickı  kraj";"obec";;-320332.85;-1237489.91
508721;"Králiky";601;"Banská Bystrica";6;"Banskobystrickı kraj";"obec";;-425669.58;-1227847.1
542849;"Dolné Naštice";301;"Bánovce nad Bebravou";3;"Trenèiansky kraj";"obec";;-483859.12;-1227817.32
506346;"Oèkov";304;"Nové Mesto nad Váhom";3;"Trenèiansky kraj";"obec";;-519674.43;-1229297.07
506401;"Pobedim";304;"Nové Mesto nad Váhom";3;"Trenèiansky kraj";"obec";;-517069.81;-1229885.22
523259;"Vinné";807;"Michalovce";8;"Košickı  kraj";"obec";;-210410.51;-1231974.98
506001;"Horná Streda";304;"Nové Mesto nad Váhom";3;"Trenèiansky kraj";"obec";;-514095.58;-1229406.09
544175;"Dlhé Klèovo";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-227161.25;-1231039.36
529001;"Poša";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-225781.6;-1227970.18
514454;"Zemianske Kosto¾any";307;"Prievidza";3;"Trenèiansky kraj";"obec";;-463682.88;-1230334.05
526002;"Muránska Huta";608;"Revúca";6;"Banskobystrickı kraj";"obec";;-346437.3;-1228839.51
542962;"Hradište";305;"Partizánske";3;"Trenèiansky kraj";"obec";;-474918.94;-1229966.56
521833;"Opátka";806;"Košice - okolie";8;"Košickı  kraj";"obec";;-277070.34;-1231486.43
521981;"Skároš";806;"Košice - okolie";8;"Košickı  kraj";"obec";;-254723.03;-1254613.69
508195;"Plaveckı Štvrtok";106;"Malacky";1;"Bratislavskı kraj";"obec";;-579284.13;-1254464.38
507211;"Košolná";207;"Trnava";2;"Trnavskı kraj";"obec";;-544308.06;-1252403.17
507857;"Èastá";107;"Pezinok";1;"Bratislavskı kraj";"obec";;-552482.96;-1254454.37
526304;"Šivetice";608;"Revúca";6;"Banskobystrickı kraj";"obec";;-335932.88;-1251216.74
500828;"Topo¾èianky";407;"Zlaté Moravce";4;"Nitriansky  kraj";"obec";;-474682.45;-1258912.29
522872;"Pavlovce nad Uhom";807;"Michalovce";8;"Košickı  kraj";"obec";;-203732.56;-1253826.13
557323;"Ïubákovo";607;"Poltár";6;"Banskobystrickı kraj";"obec";;-375781.36;-1250850.15
500984;"ikava";407;"Zlaté Moravce";4;"Nitriansky  kraj";"obec";;-476559.27;-1256204.15
500364;"Jed¾ové Kosto¾any";407;"Zlaté Moravce";4;"Nitriansky  kraj";"obec";;-467552.99;-1254348.45
507571;"Suchá nad Parnou";207;"Trnava";2;"Trnavskı kraj";"obec";;-542639.65;-1254179.65
522414;"Falkušovce";807;"Michalovce";8;"Košickı  kraj";"obec";;-220284.19;-1250991.33
500976;"Zlatno";407;"Zlaté Moravce";4;"Nitriansky  kraj";"obec";;-481244.34;-1253818.58
556670;"Šelpice";207;"Trnava";2;"Trnavskı kraj";"obec";;-539338.89;-1251970.29
526240;"Silická Jablonica";808;"Roòava";8;"Košickı  kraj";"obec";;-311044.04;-1255008.93
511731;"Podkriváò";604;"Detva";6;"Banskobystrickı kraj";"obec";;-396539.5;-1254694.73
545589;"Cabaj-Èápor";403;"Nitra";4;"Nitriansky  kraj";"obec";;-505057.51;-1276084.83
509035;"Špania Dolina";601;"Banská Bystrica";6;"Banskobystrickı kraj";"obec";;-418190.27;-1220463.11
503070;"Bešeòov";404;"Nové Zámky";4;"Nitriansky  kraj";"obec";;-489022.97;-1300159.96
555827;"Virt";401;"Komárno";4;"Nitriansky  kraj";"obec";;-487574.76;-1332295.44
545350;"Hontianske Trsany";402;"Levice";4;"Nitriansky  kraj";"obec";;-447573.08;-1284743.59
523143;"Svätuš";809;"Sobrance";8;"Košickı  kraj";"obec";;-198165.52;-1246306.99
520586;"O¾šinkov";705;"Medzilaborce";7;"Prešovskı kraj";"obec";;-203468.44;-1188765.35
516406;"Stredné Plachtince";610;"Ve¾kı Krtíš";6;"Banskobystrickı kraj";"obec";;-411347.71;-1285373.64
524409;"Frièovce";707;"Prešov";7;"Prešovskı kraj";"obec";;-282653.89;-1205635.33
523194;"Trnava pri Laborci";807;"Michalovce";8;"Košickı  kraj";"obec";;-212741.71;-1230857.03
505307;"Ostratice";305;"Partizánske";3;"Trenèiansky kraj";"obec";;-482234.33;-1233307.2
524239;"Brezovica";708;"Sabinov";7;"Prešovskı kraj";"obec";;-289800.21;-1190951.19
503291;"Komoèa";404;"Nové Zámky";4;"Nitriansky  kraj";"obec";;-507913.6;-1308775.76
528838;"Majerovce";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-228495.09;-1221997.93
508438;"Banská Bystrica";601;"Banská Bystrica";6;"Banskobystrickı kraj";"krajské mesto";;-417714.67;-1228436.09
505625;"Uhrovec";301;"Bánovce nad Bebravou";3;"Trenèiansky kraj";"obec";;-476998.62;-1222928.26
504696;"Priepasné";303;"Myjava";3;"Trenèiansky kraj";"obec";;-532034.94;-1222790.6
521841;"Opiná";806;"Košice - okolie";8;"Košickı  kraj";"obec";;-249703.06;-1225364.73
513954;"Diviacka Nová Ves";307;"Prievidza";3;"Trenèiansky kraj";"obec";;-465368.45;-1223471.47
514241;"Nitrianske Suèany";307;"Prievidza";3;"Trenèiansky kraj";"obec";;-467355.67;-1225105.34
505447;"Ruskovce";301;"Bánovce nad Bebravou";3;"Trenèiansky kraj";"obec";;-487743.31;-1221932.46
521817;"Obišovce";806;"Košice - okolie";8;"Košickı  kraj";"obec";;-263806.28;-1223697.55
523101;"Stráske";807;"Michalovce";8;"Košickı  kraj";"mesto";;-219558.66;-1224437.06
542652;"Bánovce nad Bebravou";301;"Bánovce nad Bebravou";3;"Trenèiansky kraj";"okresné mesto";;-482858.57;-1224910.1
504891;"Šaštín-Stráe";205;"Senica";2;"Trnavskı kraj";"mesto";;-565361.91;-1226507.89
509094;"Va¾kovòa";603;"Brezno";6;"Banskobystrickı kraj";"obec";;-349235.65;-1222152.85
526584;"Hnilec";810;"Spišská Nová Ves";8;"Košickı  kraj";"obec";;-317834.92;-1224350.69
581674;"Hencovce";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-227344.13;-1224295.26
508756;"Luèatín";601;"Banská Bystrica";6;"Banskobystrickı kraj";"obec";;-404353.04;-1224348.47
512729;"Turèianske Teplice";509;"Turèianske Teplice";5;"ilinskı kraj";"okresné mesto";;-437325.16;-1212983.64
504483;"Koválovec";206;"Skalica";2;"Trnavskı kraj";"obec";;-552317.3;-1211414.13
511188;"Vyšná Boca";505;"Liptovskı Mikuláš";5;"ilinskı kraj";"obec";;-371945.63;-1210606.24
544221;"Hermanovce nad Top¾ou";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-243147.4;-1211411.32
504670;"Popudinské Moèid¾any";206;"Skalica";2;"Trnavskı kraj";"obec";;-558462.54;-1210370.32
520942;"Ulièské Krivé";709;"Snina";7;"Prešovskı kraj";"obec";;-175082.23;-1212894.42
508497;"Brezno";603;"Brezno";6;"Banskobystrickı kraj";"okresné mesto";;-380719.1;-1223296.29
512427;"Liešno";509;"Turèianske Teplice";5;"ilinskı kraj";"obec";;-444281.84;-1209349.89
525286;"Teriakovce";707;"Prešov";7;"Prešovskı kraj";"obec";;-257605.7;-1209870.04
557251;"Bystrá";603;"Brezno";6;"Banskobystrickı kraj";"obec";;-383339.41;-1219004.74
526355;"Spišská Nová Ves";810;"Spišská Nová Ves";8;"Košickı  kraj";"okresné mesto";;-312087.2;-1212229.02
512559;"Rakša";509;"Turèianske Teplice";5;"ilinskı kraj";"obec";;-436045.32;-1210841.81
526436;"Bystrany";810;"Spišská Nová Ves";8;"Košickı  kraj";"obec";;-298209.45;-1212279.35
514217;"Nevidzany";307;"Prievidza";3;"Trenèiansky kraj";"obec";;-465013.72;-1212805.37
514144;"Liešany";307;"Prievidza";3;"Trenèiansky kraj";"obec";;-465752.07;-1214914.17
543438;"O¾šavka";810;"Spišská Nová Ves";8;"Košickı  kraj";"obec";;-293324.67;-1210910.25
520357;"Karná";702;"Humenné";7;"Prešovskı kraj";"obec";;-221395.32;-1212113.16
506231;"Mníchova Lehota";309;"Trenèín";3;"Trenèiansky kraj";"obec";;-496258.39;-1211266.66
514187;"Malinová";307;"Prievidza";3;"Trenèiansky kraj";"obec";;-455558.62;-1212346.87
525138;"Ruská Nová Ves";707;"Prešov";7;"Prešovskı kraj";"obec";;-256569.27;-1211181.09
543136;"Kšinná";301;"Bánovce nad Bebravou";3;"Trenèiansky kraj";"obec";;-475328.13;-1215836.91
543527;"Slatvina";810;"Spišská Nová Ves";8;"Košickı  kraj";"obec";;-291924.94;-1211243.31
543721;"Vojkovce";810;"Spišská Nová Ves";8;"Košickı  kraj";"obec";;-290464.16;-1212292.71
529257;"Vyšnı ipov";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-237328.59;-1211093.9
543594;"Spišské Vlachy";810;"Spišská Nová Ves";8;"Košickı  kraj";"mesto";;-295362.15;-1212493.84
506605;"Trenèianske Mitice";309;"Trenèín";3;"Trenèiansky kraj";"obec";;-492223.52;-1212889.42
528846;"Malá Domaša";713;"Vranov nad Top¾ou";7;"Prešovskı kraj";"obec";;-228420.29;-1213394.66
525472;"Zlatá Baòa";707;"Prešov";7;"Prešovskı kraj";"obec";;-249406.21;-1215024.22
